,Title,MovieID,revenue
0,Sin City,tt0401792,158733820
1,Sin City,,0
2,Brother,tt0222851,15250000
3,Brother,tt0245024,0
4,Brother,,0
5,Brother,tt7763596,0
6,Brother,,0
7,Brother,tt6108346,0
8,Brother,tt5749858,0
9,Human Nature,tt0219822,1600000
10,Human Nature,tt0426034,0
11,Human Nature,tt9612680,0
12,Human Nature,tt10295960,0
13,Persona,tt0060827,0
14,Persona,tt7182554,0
15,Persona,,0
16,Persona,tt10749820,0
17,Persona,,0
18,Jezebel,tt0030287,0
19,Jezebel,tt7103742,0
20,Jezebel,tt6467206,0
21,Lost in Space,tt0120738,136159423
22,Lost in Space,tt0504350,0
23,Lost in Space,tt10431882,0
24,Jacob's Ladder,tt0099871,25965144
25,Jacob's Ladder,tt3016748,0
26,Jacob's Ladder,,0
27,Shéhérazade,tt0174202,0
28,Shéhérazade,tt0056485,0
29,Shéhérazade,tt8459250,0
30,Scream,tt0117571,173046663
31,Scream,tt0086262,0
32,Scream,tt3962300,0
33,Scream,tt11245972,0
34,Bordertown,tt0445935,0
35,Bordertown,tt0026129,0
36,Van Helsing,tt0338526,300257475
37,Van Helsing,tt2388803,0
38,Badland,tt0493395,0
39,Badland,tt10253466,0
40,The Blacklist,,0
41,Supergirl,tt0088206,14296438
42,Supergirl,tt4397094,0
43,Supergirl,tt8814476,0
44,Supergirl,,0
45,Ultraviolet,tt0370032,31070211
46,Ultraviolet,tt0105681,0
47,Ultraviolet,,0
48,Ultraviolet,tt7655416,0
49,Ultraviolet,,0
50,Domino,tt0421054,22944502
51,Domino,tt0097224,0
52,Domino,tt0083842,0
53,Domino,tt0212110,0
54,Domino,,0
55,Domino,tt3282076,0
56,Domino,,0
57,Domino,,0
58,Domino,,0
59,Domino,,0
60,Domino,,0
61,Domino,tt10951262,0
62,The Brave,tt0118768,0
63,Broken,tt0454839,0
64,Broken,tt0469045,0
65,Broken,tt1441940,0
66,Broken,tt0446663,0
67,Broken,tt2229262,0
68,Broken,tt3021014,0
69,Broken,tt0326527,0
70,Broken,,0
71,Broken,tt2327233,0
72,Broken,,0
73,Broken,tt4621398,0
74,Broken,tt6731474,0
75,Broken,tt5932800,0
76,Broken,,5
77,Broken,tt8129912,0
78,Broken,tt1619623,0
79,Broken,tt4909364,0
80,Broken,,0
81,Broken,tt3066780,0
82,Broken,tt1517636,0
83,Broken,tt1207641,0
84,Broken,tt5301840,0
85,The Hard Way,tt0102004,65595485
86,The Hard Way,tt0034828,0
87,The Hard Way,tt0079270,0
88,The Hard Way,tt3183472,0
89,The Hard Way,tt9815714,0
90,Awake,tt0211933,14373825
91,Awake,tt0765802,0
92,Awake,tt2472740,0
93,Awake,,0
94,Awake,,0
95,Awake,tt10418662,0
96,Awake,tt7584702,0
97,Awake,tt4502196,0
98,Awake,tt4155080,0
99,Awake,,0
100,Special,tt0479162,7202
101,Special,tt10133076,0
102,The King,tt0930067,0
103,The King,tt0396688,0
104,The King,tt0021027,0
105,The King,tt0222115,0
106,The King,tt6775942,162589
107,The King,tt7984766,0
108,The King,tt8917520,0
109,The King,,0
110,The King,tt5206688,0
111,In the Shadow of the Moon,tt0925248,0
112,In the Shadow of the Moon,tt8110640,0
113,Mischief,tt0089601,8692426
114,Mischief,tt0247526,0
115,Mischief,tt0166274,0
116,Mischief Teckademics,,12
117,Skin,tt1095427,0
118,Skin,tt0964586,0
119,Skin,tt0093984,0
120,Skin,,0
121,Skin,tt0304720,0
122,Skin,tt2594210,0
123,Skin,,0
124,Skin,tt5723890,0
125,Skin,tt1084969,0
126,Skin,,0
127,Skin,,0
128,Skin,tt2773126,0
129,Skin,tt6043142,0
130,Skin,tt7332306,0
131,Skin,,0
132,Skin,tt10129738,0
133,Skin,tt5554032,0
134,Skin,,0
135,Skin,tt10268708,0
136,Skin,tt6525536,0
137,Back to School,tt0090685,91258000
138,Back to School,,0
139,The Neighbor,tt0978670,0
140,The Neighbor,tt0107666,0
141,The Neighbor,tt3330764,0
142,The Neighbor,tt3905764,0
143,The Neighbor,tt1791436,0
144,Uncovered,tt0111549,0
145,Uncovered,,0
146,Uncovered,tt7517072,0
147,Haunted,tt0113269,0
148,Haunted,tt1887763,0
149,Haunted,tt0079273,0
150,Haunted,tt2133234,750000
151,Haunted,tt3530328,0
152,Haunted,,0
153,Haunted,tt8196210,0
154,Haunted,tt0178558,0
155,Haunted,,0
156,House Arrest,tt0116571,0
157,House Arrest,tt1497876,0
158,House Arrest,tt1814727,0
159,House Arrest,,0
160,House Arrest,tt2656944,0
161,House Arrest,tt11163028,0
162,House Arrest,,0
163,House Arrest,tt1186649,0
164,The Deep,tt0075925,0
165,The Deep,tt2326005,0
166,The Deep,tt0209994,0
167,The Deep,,0
168,Let's Dance,tt1562361,0
169,Let's Dance,tt0042674,0
170,Let's Dance,tt0145885,0
171,Let's Dance,tt0024250,0
172,Let's Dance,tt8599746,0
173,Let's Dance,tt10177486,0
174,Possessed,tt0039725,0
175,Possessed,tt0022276,1522000
176,Possessed,tt0195165,0
177,Possessed,,0
178,Possessed,tt0963944,0
179,Possessed,tt4909266,0
180,Possessed,tt3175554,0
181,Possessed,,0
182,Possessed,tt1676989,0
183,Possessed,tt7823830,0
184,Shadow,tt1499935,0
185,Shadow,tt1425253,0
186,Shadow,tt2386295,1
187,Shadow,tt3497284,0
188,Shadow,tt8262618,0
189,Shadow,,0
190,Shadow,,0
191,Evelyn,tt0298856,0
192,Evelyn,tt1957898,0
193,Evelyn,tt8793990,0
194,Evelyn,tt0067070,0
195,Evelyn,,0
196,The Chosen One,tt0357545,0
197,The Chosen One,tt0970926,0
198,The Chosen One,tt1339065,0
199,The Chosen One,tt0499191,0
200,American Son,tt1037004,0
201,American Son,tt9664078,0
202,American Son,tt2965368,0
203,Quicksand,tt0042869,0
204,Quicksand,tt0271136,0
205,Quicksand,tt0282883,0
206,Quicksand,,0
207,Drive,tt0116147,0
208,Drive,tt0780504,78054825
209,Drive,tt6593054,0
210,Drive,tt0101773,0
211,Point Blank,tt0062138,3200000
212,Point Blank,tt0175047,0
213,Point Blank,tt2499472,0
214,Point Blank,tt13760814,0
215,Slasher,tt0375073,0
216,Slasher,tt1016019,0
217,Slasher,tt3483644,0
218,Slasher,,0
219,Nowhere Man,tt0338294,0
220,Nowhere Man,,0
221,The Body,tt0201485,0
222,The Body,tt0199369,0
223,The Body,tt2615118,0
224,The Body,tt6922148,0
225,The Body,tt0202546,0
226,The Body,tt8130904,0
227,The Body,,0
228,The Body,tt1321809,0
229,The Body,tt13141750,0
230,The Body,tt9794466,0
231,Scarecrow,tt0070643,0
232,Scarecrow,tt0341564,0
233,Scarecrow,tt2071571,0
234,Bal Ganesh,tt6449730,0
235,Backfire,tt0042219,0
236,Backfire,tt0092609,0
237,Backfire,tt6238084,0
238,Backfire,,0
239,The End,tt0077504,45000000
240,The End,tt0258550,0
241,The End,tt1323914,0
242,The End,,0
243,The End,tt2092466,0
244,The End,tt0045728,0
245,The End,tt0402162,0
246,The End,tt0456941,0
247,The End,tt0112958,0
248,The End,tt3694892,0
249,The End,tt5231798,0
250,The End,tt4202974,0
251,The End,,0
252,The End,,0
253,The End,tt2199649,0
254,The End,tt3432946,0
255,The End,tt1301141,0
256,The End,,0
257,The End,tt0364327,0
258,The End,,0
259,The End,tt5616684,0
260,The End,,0
261,The End,,0
262,The End,,0
263,The End,tt1974389,0
264,The Club,tt0080546,0
265,The Club,tt0109449,0
266,The Club,tt0428406,0
267,The Club,tt0215627,0
268,After,tt1249363,0
269,After,tt1469242,0
270,After,tt1799508,0
271,After,tt2404163,0
272,After,tt1147681,0
273,After,tt2431172,0
274,After,,0
275,After,tt3410402,0
276,After,tt4126476,69497587
277,After,tt7094436,0
278,Daybreak,tt0219640,0
279,Daybreak,tt0106676,0
280,Daybreak,tt0039304,0
281,Daybreak,tt0021786,0
282,Daybreak,tt1196140,0
283,Daybreak,tt0367639,0
284,Daybreak,,0
285,Daybreak,,0
286,Daybreak,tt0128154,0
287,Alone,tt0263053,0
288,Alone,tt0056821,0
289,Alone,tt0167762,0
290,Alone,tt1800240,0
291,Alone,tt3447106,0
292,Alone,tt4452110,0
293,Solos,tt4653938,0
294,Alone,,0
295,Alone,tt5654394,0
296,Alone,tt6588242,0
297,Alone,tt4034112,0
298,Alone,,0
299,Alone,tt7711170,0
300,Alone,tt7584972,0
301,Alone,tt8806772,0
302,Alone,tt10787242,0
303,Alone,tt8610036,0
304,Alone,tt8286888,0
305,Alone,tt11049728,0
306,Alone,,0
307,Alone,tt10332854,0
308,Alone,,0
309,Alone,,0
310,Alone,tt8836494,0
311,Alone,,0
312,Alone,tt10309512,0
313,Alone,tt12543464,0
314,Alone,,0
315,Alone,,0
316,Alone,tt12525160,0
317,Alone,,0
318,Alone,,0
319,Alone,,0
320,Alone,,0
321,Alone,,0
322,Alone,tt12803038,0
323,Alone,,0
324,Alone,,0
325,Alone,,0
326,Gotham,tt0095246,0
327,Gotham,,0
328,Gotham,,0
329,Justine,tt0064526,0
330,Justine,tt3499838,0
331,Justine,tt1897946,0
332,Justine,tt8202262,0
333,Justine,tt6095072,0
334,Justine,tt3315298,0
335,Justine,tt8816992,0
336,Justine,tt12165170,0
337,Bad Blood,tt0082043,0
338,Bad Blood,tt0096876,0
339,Bad Blood,tt0108495,0
340,Bad Blood,tt3685022,0
341,Bad Blood,tt5795144,0
342,Bad Blood,tt5782040,0
343,Bad Blood,,0
344,Bad Blood,,0
345,Bad Blood,tt6499098,0
346,Bad Blood,tt0461010,0
347,Easy,tt0379270,0
348,Easy,tt3170526,0
349,Easy,tt5144046,0
350,Pegasus,tt0261893,0
351,Dynasty,tt1585979,0
352,Dynasty,tt0074709,0
353,The Trial,tt1264115,0
354,The Trial,tt0108388,0
355,The Trial,tt3819170,0
356,The Trial,tt9309776,0
357,The Trial,,0
358,Exhibit A,tt0972555,0
359,Brotherhood,tt1273241,0
360,Brotherhood,tt0811602,0
361,Brotherhood,tt5193784,0
362,Brotherhood,tt7220118,0
363,Brotherhood,,0
364,Brotherhood,,0
365,Jinn,tt1562899,149337
366,Jinn,tt6641528,0
367,Jinn,tt5942108,0
368,Another Life,tt0218000,0
369,Another Life,tt0318306,0
370,Another Life,,0
371,Joy,tt1465490,0
372,Joy,tt0085763,0
373,Joy,tt1373450,0
374,Joy,tt2119451,0
375,Joy,tt2446980,101134059
376,Joy,,0
377,Joy,tt4382740,0
378,Joy,tt0305705,0
379,Joy,tt6180144,0
380,Joy,tt8917752,0
381,Joy,,0
382,Joy,tt10415212,0
383,Joy,tt11591464,0
384,Cuckoo,tt1148779,0
385,Cuckoo,,0
386,The Outsider,tt0289374,0
387,The Outsider,tt0079687,0
388,The Outsider,tt0455989,0
389,The Outsider,tt0055270,0
390,The Outsider,tt2011311,0
391,The Outsider,tt2198241,0
392,The Outsider,tt0032884,0
393,The Outsider,tt0062090,0
394,The Outsider,tt0393571,0
395,The Outsider,tt0260262,0
396,The Outsider,tt0022240,0
397,The Outsider,,0
398,The Outsider,tt7767582,0
399,The Outsider,tt10303892,0
400,The Outsider,tt8873546,0
401,The Outsider,tt0017240,0
402,The Outsider,tt0167327,0
403,Last Breath,tt1006907,0
404,Last Breath,tt4892974,0
405,Last Breath,tt9056818,0
406,Last Breath,tt3402196,0
407,Vagabond,tt0105718,0
408,Vagabond,,0
409,Vagabond,tt5159538,0
410,Vagabond,tt0355002,0
411,Black Lightning,tt1340635,0
412,Black Lightning,tt0014720,0
413,Once Upon a Time,tt0037150,0
414,Once Upon a Time,tt2145827,0
415,Once Upon a Time,tt2189638,0
416,Once Upon a Time,tt0155922,0
417,Once Upon a Time,,0
418,Once Upon a Time,tt0200924,0
419,Playing with Fire,tt1207652,0
420,Playing with Fire,tt0017269,0
421,Playing with Fire,tt0089815,0
422,Playing with Fire,,0
423,Playing with Fire,tt9134216,44400000
424,Playing with Fire,tt0265537,0
425,Playing with Fire,tt0012571,0
426,Polar,tt1342412,0
427,Polar,tt0087927,0
428,Polar,tt4139588,0
429,You,tt0960886,0
430,You,tt0134224,0
431,You,,0
432,Diamond City,tt0041294,0
433,Soundtrack,tt1941657,0
434,Soundtrack,tt0318709,0
435,Soundtrack,tt1114732,0
436,Soundtrack,,0
437,Soundtrack,tt3332372,0
438,Soundtrack,,0
439,Soundtrack,,0
440,Soundtrack,,0
441,Chocolate,,0
442,Chocolate,tt0078967,0
443,Chocolate,tt0643101,0
444,Chocolate,tt4743636,0
445,Chocolate,tt6134214,0
446,The Black Godfather,tt0071225,0
447,The Black Godfather,tt10289996,0
448,White Gold,tt0339896,0
449,White Gold,tt0018571,0
450,White Gold,,0
451,White Gold,tt0415305,0
452,Unnatural Selection,,0
453,Cold Feet,tt0097076,0
454,Cold Feet,tt0142187,0
455,Cold Feet,tt0087070,0
456,Cold Feet,tt3014006,0
457,Cold Feet,tt0211316,0
458,Cold Feet,tt11045972,0
459,Cold Feet,tt5997872,0
460,Cold Feet,,0
461,Triple Threat,tt0801349,0
462,Triple Threat,tt6643972,0
463,Triple Threat,tt0040904,0
464,Triple Threat,tt9233514,0
465,Made in China,tt1316064,0
466,Made in China,tt2244891,0
467,Made in China,tt3742398,0
468,Made in China,,0
469,Made in China,tt3558184,0
470,Made in China,tt9351598,0
471,Made in China,tt7291148,0
472,Seventeen,tt0086290,0
473,Seventeen,tt0391447,0
474,Seventeen,tt0033039,0
475,Seventeen,,0
476,Seventeen,tt0203885,0
477,Seventeen,tt0007326,0
478,Yankee,tt0059924,0
479,Yankee,tt5280532,0
480,Marianne,tt1756615,0
481,Marianne,tt0020143,0
482,Marianne,,0
483,Marianne,tt6063618,0
484,Marianne,tt3494618,0
485,Marianne,tt0046044,0
486,Marianne,tt10875696,0
487,Occupied,tt1193509,0
488,Occupied,tt1924334,0
489,Occupied,tt6152568,0
490,Redemption,tt1350546,0
491,Redemption,tt2201886,0
492,Redemption,tt0021292,0
493,Redemption,tt0275624,0
494,Redemption,tt3123116,0
495,Redemption,tt0303387,0
496,Redemption,tt3819178,0
497,Redemption,,0
498,Redemption,tt0276449,0
499,Redemption,tt1587259,0
500,Redemption,tt6672720,0
501,Redemption,,0
502,Redemption,tt0211595,0
503,Redemption,tt6193334,0
504,Redemption,tt5621712,0
505,Redemption,,0
506,Redemption,,0
507,Redemption,tt13364134,0
508,Good Sam,tt0040395,0
509,Good Sam,tt9032888,0
510,Supernatural,tt0024631,0
511,Supernatural,,0
512,The Family,tt2404311,36894225
513,The Family,tt1728973,0
514,The Family,tt0071485,0
515,The Family,tt5939770,0
516,The Family,,0
517,The Family,tt0276127,0
518,Dear White People,tt2235108,0
519,Abyss,,0
520,Dollar,tt0030066,0
521,Close,tt0460747,0
522,Close,tt0381956,0
523,Close,tt5316540,0
524,Close,tt0142184,0
525,Close,,0
526,Tunnel,tt0251446,0
527,Tunnel,,0
528,Flinch,tt0109812,0
